Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Diagonal,1.0063186,0.7055664,1.417301,0.41730106,1.417301,29.44336,3.3963516,0.033963516,3.3623881,0.2,0.8,414ms
Diagonal,0.9961289,0.6838379,1.4623349,0.46233487,1.4623349,31.61621,3.1629343,0.031629343,3.131305,0.2,0.8,417ms
Diagonal,0.99757195,0.68847656,1.4524822,0.45248222,1.4524822,31.152344,3.2100313,0.032100312,3.177931,0.2,0.8,407ms
Diagonal,1.0001767,0.6948242,1.4392129,0.43921292,1.4392129,30.517578,3.2768,0.032768,3.244032,0.2,0.8,419ms
Diagonal,1.0082092,0.70825195,1.4119269,0.41192687,1.4119269,29.174805,3.4276152,0.03427615,3.393339,0.2,0.8,396ms
Diagonal,1.0008838,0.69628906,1.4361851,0.43618512,1.4361851,30.371094,3.2926044,0.032926045,3.2596784,0.2,0.8,397ms
Diagonal,0.9947638,0.67749023,1.4760361,0.47603607,1.4760361,32.250977,3.1006813,0.031006813,3.0696745,0.2,0.8,406ms
Diagonal,1.0217121,0.7233887,1.3823828,0.38238275,1.3823828,27.661133,3.615181,0.036151808,3.579029,0.2,0.8,409ms
Diagonal,0.9960635,0.68359375,1.4628571,0.46285713,1.4628571,31.640625,3.1604939,0.03160494,3.1288888,0.2,0.8,429ms
Diagonal,0.9944821,0.6755371,1.4803035,0.48030353,1.4803035,32.44629,3.0820165,0.030820165,3.0511963,0.2,0.8,412ms
Diagonal,0.99829495,0.6904297,1.4483734,0.44837344,1.4483734,30.957031,3.230284,0.032302838,3.197981,0.2,0.8,406ms
Diagonal,0.99451387,0.67578125,1.4797688,0.47976875,1.4797688,32.421875,3.0843372,0.030843373,3.053494,0.2,0.8,449ms
Diagonal,0.9952067,0.67993164,1.470736,0.47073603,1.470736,32.006836,3.1243327,0.031243326,3.0930893,0.2,0.8,410ms
Diagonal,0.99908733,0.6923828,1.4442878,0.44428778,1.4442878,30.761719,3.2507937,0.032507937,3.2182858,0.2,0.8,523ms
Diagonal,1.00368,0.701416,1.4256874,0.42568743,1.4256874,29.858398,3.3491414,0.033491414,3.31565,0.2,0.8,440ms
Diagonal,1.0012525,0.6970215,1.434676,0.43467605,1.434676,30.297852,3.300564,0.03300564,3.2675583,0.2,0.8,438ms
Diagonal,1.0048792,0.70336914,1.4217286,0.4217286,1.4217286,29.663086,3.3711934,0.033711933,3.3374815,0.2,0.8,423ms
Diagonal,0.9943131,0.67407227,1.4835205,0.4835205,1.4835205,32.592773,3.0681648,0.030681647,3.0374832,0.2,0.8,414ms
Diagonal,1.011026,0.71191406,1.4046639,0.40466392,1.4046639,28.808594,3.4711864,0.034711864,3.4364746,0.2,0.8,413ms
Diagonal,1.0010056,0.6965332,1.4356817,0.4356817,1.4356817,30.34668,3.2952535,0.032952536,3.262301,0.2,0.8,448ms
Diagonal,0.9939986,0.66674805,1.4998169,0.4998169,1.4998169,33.325195,3.0007327,0.030007325,2.9707253,0.2,0.8,408ms
Diagonal,1.0022855,0.6989746,1.4306672,0.43066716,1.4306672,30.10254,3.3219788,0.03321979,3.288759,0.2,0.8,422ms
Diagonal,0.9972364,0.6875,1.4545455,0.4545455,1.4545455,31.25,3.2,0.032,3.168,0.2,0.8,413ms
Diagonal,1.0059903,0.7050781,1.4182825,0.4182825,1.4182825,29.492188,3.3907285,0.033907283,3.3568213,0.2,0.8,411ms
Diagonal,1.011026,0.71191406,1.4046639,0.40466392,1.4046639,28.808594,3.4711864,0.034711864,3.4364746,0.2,0.8,452ms
Diagonal,1.0061538,0.70532227,1.4177916,0.4177916,1.4177916,29.467773,3.3935378,0.033935376,3.3596025,0.2,0.8,429ms
Diagonal,1.0029683,0.7001953,1.428173,0.42817295,1.428173,29.980469,3.3355048,0.03335505,3.3021498,0.2,0.8,441ms
Diagonal,1.0033917,0.70092773,1.4266806,0.42668056,1.4266806,29.907227,3.3436735,0.033436734,3.3102367,0.2,0.8,434ms
Diagonal,1.0010056,0.6965332,1.4356817,0.4356817,1.4356817,30.34668,3.2952535,0.032952536,3.262301,0.2,0.8,433ms
Diagonal,1.0170435,0.71875,1.3913044,0.39130437,1.3913044,28.125,3.5555556,0.035555556,3.52,0.2,0.8,436ms
Diagonal,0.9960635,0.68359375,1.4628571,0.46285713,1.4628571,31.640625,3.1604939,0.03160494,3.1288888,0.2,0.8,409ms
Diagonal,1.0048792,0.70336914,1.4217286,0.4217286,1.4217286,29.663086,3.3711934,0.033711933,3.3374815,0.2,0.8,405ms
Diagonal,0.9995098,0.6933594,1.4422535,0.44225347,1.4422535,30.664062,3.2611465,0.032611463,3.2285352,0.2,0.8,425ms
Diagonal,1.0010056,0.6965332,1.4356817,0.4356817,1.4356817,30.34668,3.2952535,0.032952536,3.262301,0.2,0.8,413ms
Diagonal,0.9948442,0.6779785,1.474973,0.47497296,1.474973,32.20215,3.105383,0.031053828,3.0743291,0.2,0.8,435ms
Diagonal,1.0196872,0.72143555,1.3861252,0.3861252,1.3861252,27.856445,3.5898335,0.035898335,3.553935,0.2,0.8,441ms
Diagonal,1.0016314,0.6977539,1.4331701,0.43317008,1.4331701,30.22461,3.3085623,0.033085622,3.2754767,0.2,0.8,443ms
