Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Diagonal,0.66304237,0.41577148,2.4051673,0.40516734,2.4051673,58.42285,1.711659,0.01711659,1.6945424,0.2,0.8,556ms
Diagonal,0.6542066,0.41796875,2.3925233,0.3925233,2.3925233,58.203125,1.7181208,0.017181208,1.7009397,0.2,0.8,535ms
Diagonal,0.784507,0.3881836,2.5761006,0.5761006,2.5761006,61.18164,1.6344773,0.016344773,1.6181325,0.2,0.8,562ms
Diagonal,0.8969401,0.36621094,2.7306666,0.73066664,2.7306666,63.378906,1.5778121,0.01577812,1.562034,0.2,0.8,576ms
Diagonal,0.82889867,0.3791504,2.637476,0.63747597,2.637476,62.08496,1.6106961,0.01610696,1.5945891,0.2,0.8,588ms
Diagonal,0.95347136,0.35620117,2.8074024,0.8074024,2.8074024,64.37988,1.5532802,0.015532803,1.5377474,0.2,0.8,545ms
Diagonal,0.71537155,0.4033203,2.479419,0.479419,2.479419,59.66797,1.6759411,0.01675941,1.6591817,0.2,0.8,569ms
Diagonal,1.053952,0.33984375,2.9425287,0.9425287,2.9425287,66.015625,1.5147929,0.015147929,1.499645,0.2,0.8,577ms
Diagonal,0.8513994,0.37475586,2.6684039,0.66840386,2.6684039,62.524414,1.5993752,0.015993752,1.5833815,0.2,0.8,607ms
Diagonal,0.7250192,0.40112305,2.4930005,0.4930005,2.4930005,59.887695,1.669792,0.01669792,1.6530942,0.2,0.8,582ms
Diagonal,0.7413858,0.39746094,2.5159705,0.51597047,2.5159705,60.253906,1.6596434,0.016596435,1.643047,0.2,0.8,609ms
Diagonal,0.6933496,0.40844727,2.4482965,0.44829655,2.4482965,59.155273,1.6904664,0.016904663,1.6735617,0.2,0.8,636ms
Diagonal,0.55510706,0.44482422,2.248079,0.24807906,2.248079,55.51758,1.8012313,0.018012313,1.783219,0.2,0.8,589ms
Diagonal,0.7196437,0.40234375,2.485437,0.48543692,2.485437,59.765625,1.6732026,0.016732026,1.6564707,0.2,0.8,570ms
Diagonal,0.805797,0.38378906,2.605598,0.605598,2.605598,61.621094,1.622821,0.016228208,1.6065928,0.2,0.8,584ms
Diagonal,0.9649239,0.35424805,2.8228807,0.82288074,2.8228807,64.575195,1.5485822,0.015485822,1.5330964,0.2,0.8,591ms
Diagonal,0.89827716,0.3659668,2.7324884,0.7324884,2.7324884,63.40332,1.5772045,0.015772045,1.5614324,0.2,0.8,586ms
Diagonal,0.68309885,0.41088867,2.4337492,0.4337492,2.4337492,58.911133,1.697472,0.016974721,1.6804973,0.2,0.8,565ms
Diagonal,0.7856749,0.38793945,2.5777218,0.57772183,2.5777218,61.206055,1.6338253,0.016338253,1.6174871,0.2,0.8,583ms
Diagonal,0.75362015,0.3947754,2.533086,0.53308606,2.533086,60.52246,1.6522791,0.016522791,1.6357564,0.2,0.8,584ms
Diagonal,0.60808766,0.42993164,2.325951,0.3259511,2.325951,57.006836,1.7541755,0.017541755,1.7366338,0.2,0.8,572ms
Diagonal,0.651287,0.41870117,2.388338,0.3883381,2.388338,58.129883,1.7202855,0.017202856,1.7030827,0.2,0.8,597ms
Diagonal,0.76150954,0.3930664,2.5440993,0.54409933,2.5440993,60.69336,1.6476268,0.016476268,1.6311505,0.2,0.8,578ms
Diagonal,0.9577495,0.35546875,2.813187,0.8131869,2.813187,64.453125,1.5515151,0.015515151,1.5359999,0.2,0.8,587ms
Diagonal,0.572814,0.43969727,2.274292,0.274292,2.274292,56.030273,1.7847495,0.017847495,1.766902,0.2,0.8,597ms
Diagonal,0.6330911,0.42333984,2.3621683,0.3621683,2.3621683,57.666016,1.7341236,0.017341236,1.7167823,0.2,0.8,599ms
Diagonal,0.80940104,0.38305664,2.61058,0.61057997,2.61058,61.694336,1.6208943,0.016208943,1.6046854,0.2,0.8,554ms
Diagonal,0.8706219,0.37109375,2.694737,0.69473696,2.694737,62.890625,1.5900621,0.015900621,1.5741615,0.2,0.8,561ms
Diagonal,0.6995723,0.40698242,2.4571085,0.4571085,2.4571085,59.301758,1.6862906,0.016862907,1.6694278,0.2,0.8,595ms
Diagonal,0.85648286,0.3737793,2.6753755,0.67537546,2.6753755,62.62207,1.5968812,0.01596881,1.5809124,0.2,0.8,579ms
Diagonal,1.0460823,0.34106445,2.931997,0.93199706,2.931997,65.893555,1.5175991,0.015175991,1.5024232,0.2,0.8,584ms
Diagonal,0.95347136,0.35620117,2.8074024,0.8074024,2.8074024,64.37988,1.5532802,0.015532803,1.5377474,0.2,0.8,676ms
Diagonal,0.8400729,0.37695312,2.6528497,0.6528497,2.6528497,62.304688,1.6050156,0.016050156,1.5889655,0.2,0.8,537ms
Diagonal,0.96925545,0.35351562,2.8287294,0.8287294,2.8287294,64.64844,1.5468278,0.015468278,1.5313596,0.2,0.8,632ms
Diagonal,0.9882599,0.3503418,2.8543553,0.85435534,2.8543553,64.96582,1.539271,0.0153927095,1.5238783,0.2,0.8,564ms
