Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Moore,1.0292001,0.72998047,1.3698996,0.36989963,1.3698996,27.001953,3.703436,0.03703436,3.6664016,0.2,0.8,392ms
Moore,1.0347735,0.734375,1.3617021,0.36170208,1.3617021,26.5625,3.764706,0.037647057,3.727059,0.2,0.8,384ms
Moore,1.0243661,0.7258301,1.3777329,0.37773287,1.3777329,27.416992,3.6473732,0.036473732,3.6108994,0.2,0.8,382ms
Moore,1.0377413,0.73657227,1.35764,0.35764003,1.35764,26.342773,3.7961075,0.037961073,3.7581465,0.2,0.8,392ms
Moore,1.0466434,0.7426758,1.3464826,0.34648263,1.3464826,25.732422,3.886148,0.03886148,3.8472865,0.2,0.8,393ms
Moore,1.0422478,0.7397461,1.3518152,0.35181522,1.3518152,26.02539,3.8424015,0.038424015,3.8039775,0.2,0.8,391ms
Moore,1.0520667,0.74609375,1.3403141,0.34031415,1.3403141,25.390625,3.9384615,0.039384615,3.899077,0.2,0.8,374ms
Moore,1.0374055,0.7363281,1.3580902,0.35809016,1.3580902,26.367188,3.7925925,0.037925925,3.7546666,0.2,0.8,417ms
Moore,1.0367384,0.73583984,1.3589914,0.35899138,1.3589914,26.416016,3.7855823,0.037855823,3.7477264,0.2,0.8,377ms
Moore,1.0347735,0.734375,1.3617021,0.36170208,1.3617021,26.5625,3.764706,0.037647057,3.727059,0.2,0.8,391ms
Moore,1.0243661,0.7258301,1.3777329,0.37773287,1.3777329,27.416992,3.6473732,0.036473732,3.6108994,0.2,0.8,395ms
Moore,1.0274472,0.7285156,1.3726542,0.3726542,1.3726542,27.148438,3.6834533,0.03683453,3.6466188,0.2,0.8,402ms
Moore,1.0338113,0.7336426,1.3630615,0.36306155,1.3630615,26.635742,3.7543538,0.03754354,3.7168102,0.2,0.8,385ms
Moore,1.0528679,0.74658203,1.3394375,0.33943748,1.3394375,25.341797,3.9460502,0.039460503,3.9065897,0.2,0.8,382ms
Moore,1.0455229,0.74194336,1.3478118,0.34781182,1.3478118,25.805664,3.8751183,0.03875118,3.8363671,0.2,0.8,395ms
Moore,1.0354224,0.7348633,1.3607973,0.3607973,1.3607973,26.513672,3.771639,0.03771639,3.7339227,0.2,0.8,390ms
