Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Neumann,1.0118245,0.7128906,1.4027398,0.40273976,1.4027398,28.710938,3.4829931,0.034829933,3.4481633,0.2,0.8,152ms
Neumann,0.9969958,0.6867676,1.4560966,0.45609665,1.4560966,31.323242,3.1925175,0.031925175,3.1605923,0.2,0.8,129ms
Neumann,1.0076791,0.70751953,1.4133885,0.4133885,1.4133885,29.248047,3.4190316,0.034190316,3.3848412,0.2,0.8,135ms
Neumann,1.0177486,0.7194824,1.389888,0.38988805,1.389888,28.051758,3.564839,0.03564839,3.5291905,0.2,0.8,132ms
Neumann,1.0001767,0.6948242,1.4392129,0.43921292,1.4392129,30.517578,3.2768,0.032768,3.244032,0.2,0.8,125ms
Neumann,1.000408,0.6953125,1.4382023,0.43820226,1.4382023,30.46875,3.2820513,0.03282051,3.2492309,0.2,0.8,130ms
Neumann,1.0048792,0.70336914,1.4217286,0.4217286,1.4217286,29.663086,3.3711934,0.033711933,3.3374815,0.2,0.8,143ms
Neumann,1.0038258,0.70166016,1.4251914,0.4251914,1.4251914,29.833984,3.3518822,0.03351882,3.3183634,0.2,0.8,313ms
Neumann,0.9944515,0.67529297,1.4808388,0.48083878,1.4808388,32.470703,3.0796993,0.030796992,3.0489023,0.2,0.8,247ms
Neumann,1.0191946,0.72094727,1.387064,0.38706398,1.387064,27.905273,3.5835521,0.03583552,3.5477166,0.2,0.8,149ms
Neumann,1.0187072,0.720459,1.3880041,0.38800406,1.3880041,27.954102,3.5772927,0.035772927,3.5415196,0.2,0.8,133ms
Neumann,1.0322375,0.7324219,1.3653333,0.36533332,1.3653333,26.757812,3.7372262,0.03737226,3.699854,0.2,0.8,128ms
Neumann,1.0238243,0.7253418,1.3786604,0.37866044,1.3786604,27.46582,3.640889,0.03640889,3.60448,0.2,0.8,133ms
Neumann,1.0189502,0.7207031,1.3875339,0.3875339,1.3875339,27.929688,3.5804195,0.035804197,3.5446153,0.2,0.8,447ms
Neumann,1.0179863,0.71972656,1.3894166,0.38941658,1.3894166,28.027344,3.5679443,0.03567944,3.532265,0.2,0.8,122ms
Neumann,1.0187072,0.720459,1.3880041,0.38800406,1.3880041,27.954102,3.5772927,0.035772927,3.5415196,0.2,0.8,128ms
Neumann,0.99898446,0.6921387,1.4447972,0.44479716,1.4447972,30.786133,3.2482157,0.03248216,3.2157335,0.2,0.8,124ms
Neumann,0.9961289,0.6838379,1.4623349,0.46233487,1.4623349,31.61621,3.1629343,0.031629343,3.131305,0.2,0.8,126ms
Neumann,0.9977462,0.68896484,1.4514529,0.45145285,1.4514529,31.103516,3.2150707,0.03215071,3.18292,0.2,0.8,155ms
Neumann,0.9997276,0.69384766,1.4412385,0.44123852,1.4412385,30.615234,3.2663476,0.032663476,3.233684,0.2,0.8,143ms
